edge,role,state,status,tar,job_id,job_name,comment,success,scf,stage,energy_Eh
R05E001,M,ANI,success,archive3595(1).tar,3700,R05E001_M_ANI,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-776.01464237
R05E001,M,CAT,success,archive3595(1).tar,3652,R05E001_M_CAT,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-775.77354822
R05E001,M,N,success,archive3595(1).tar,3595,R05E001_M_N,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-775.97302035
R05E001,P,ANI,success,archive3595(1).tar,3701,R05E001_P_ANI,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],True,8,0,-700.78990622
R05E001,P,CAT,success,archive3595(1).tar,3653,R05E001_P_CAT,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],True,8,0,-700.57794044
R05E001,P,N,success,archive3595(1).tar,3596,R05E001_P_N,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],True,8,0,-700.7732042
R05E002,M,ANI,success,archive3595(1).tar,3702,R05E002_M_ANI,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=O=CCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-770.59370259
R05E002,M,CAT,success,archive3595(1).tar,3654,R05E002_M_CAT,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=O=CCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-770.32412406
R05E002,M,N,success,archive3595(1).tar,3597,R05E002_M_N,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=O=CCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-770.53898915
R05E002,P,ANI,success,archive3595(1).tar,3703,R05E002_P_ANI,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=CNCCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-791.23734422
R05E002,P,CAT,success,archive3595(1).tar,3655,R05E002_P_CAT,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=CNCCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-790.9693402
