LTKBID,compound,node_id,node_type,generation,precursor_smiles,mechanism,enzyme,state_window,smiles,formal_charge,reactive_alert_count,reactive_alerts,selection_score,replaces_node_id,replaces_smiles,retention_ratio
DMAP_CHLORPROMAZINE,Chlorpromazine,DMAP_CHLORPROMAZINE__CFR0001,metabolite,1,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Clc1ccc2c(c1)Nc1ccccc1S2,0,0,,1.0,DMAP_CHLORPROMAZINE__R3M0,CN(C)CCC=O,0.7142857142857143
DMAP_MILNACIPRAN,Milnacipran,DMAP_MILNACIPRAN__CFR0002,metabolite,1,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,N-Dealkylation of tertiary carboxamide,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CCNC(=O)C1(c2ccccc2)CC1CN,0,0,,1.0,DMAP_MILNACIPRAN__R3M1,CC=O,0.8888888888888888
LT00013,Cyclophosphamide,LT00013__CFR0003,metabolite,1,O=P1(N(CCCl)CCCl)NCCCO1,N-Dechloroethylation,"CYP2B6
CYP3A4",metabolite,O=P1(NCCCl)NCCCO1,0,0,,0.0,LT00013__R3M0,O=CCCl,0.7857142857142857
LT00045,Amineptine,LT00045__CFR0004,metabolite,1,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,N-Dealkylation of acyclic secondary amine,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,NC1c2ccccc2CCc2ccccc21,0,0,,1.0,LT00045__R3M0,O=CCCCCCC(=O)O,0.64
LT00052,Donepezil hydrochloride,LT00052__CFR0005,metabolite,1,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2,0,0,,1.0,LT00052__R3M1,O=Cc1ccccc1,0.75
LT00068,Chlorpromazine hydrochloride,LT00068__CFR0006,metabolite,1,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Clc1ccc2c(c1)Nc1ccccc1S2,0,0,,1.0,LT00068__R3M0,CN(C)CCC=O,0.7142857142857143
LT00108,Imipramine hydrochloride,LT00108__CFR0007,metabolite,1,CN(C)CCCN1c2ccccc2CCc2ccccc21,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,c1ccc2c(c1)CCc1ccccc1N2,0,0,,1.0,LT00108__R3M0,CN(C)CCC=O,0.7142857142857143
LT00185,Clomipramine hydrochloride,LT00185__CFR0008,metabolite,1,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,Clc1ccc2c(c1)Nc1ccccc1CC2,0,0,,1.0,LT00185__R3M0,CN(C)CCC=O,0.7272727272727273
LT00205,Promethazine hydrochloride,LT00205__CFR0009,metabolite,1,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,N-Dealkylation of mixed tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,c1ccc2c(c1)Nc1ccccc1S2,0,0,,1.0,LT00205__R3M0,CC(C=O)N(C)C,0.7
LT00207,Carvedilol,LT00207__CFR0010,metabolite,1,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,N-Dealkylation of acyclic secondary amine,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,NCC(O)COc1cccc2[nH]c3ccccc3c12,0,0,,1.0,LT00207__R3M1,COc1ccccc1OCC=O,0.6333333333333333
LT00216,Pergolide mesylate,LT00216__CFR0011,metabolite,1,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,CSC[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2C1,0,0,,1.0,LT00216__R3M0,CCC=O,0.8636363636363636
LT00264,Rabeprazole sodium,LT00264__CFR0012,metabolite,1,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,O-Dealkylation,"CYP1A2
CYP2A6
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",metabolite,Cc1c(O)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,0,0,,1.0,LT00264__R3M0,COCCC=O,0.8
LT00267,Quetiapine fumarate,LT00267__CFR0013,metabolite,1,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,N-Dealkylation of alicyclic tertiary amine,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1S2,0,0,,1.0,LT00267__R3M0,O=CCOCCO,0.7777777777777778
LT00267,Quetiapine fumarate,LT00267__CFR0014,metabolite,1,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,O-Dealkylation of dialkylether,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",metabolite,OCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0,0,,1.0,LT00267__R3M1,O=CCO,0.8888888888888888
