row_id,compound,query_type,ok,query,status,error,source,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey,Title
LT01402,Abatacept,chembl_id,False,CHEMBL1201823,200.0,,,,,,,,,
LT01402,Abatacept,name,False,Abatacept,,,,,,,,,,
LT01402,Abatacept,ChEMBL_synonym,False,CHEMBL1201823,,,,,,,,,,
LT01330,Abciximab,chembl_id,False,CHEMBL1201584,200.0,,,,,,,,,
LT01330,Abciximab,name,False,Abciximab,,,,,,,,,,
LT01330,Abciximab,ChEMBL_synonym,False,CHEMBL1201584,,,,,,,,,,
LT03619,Abemaciclib,name,True,Abemaciclib,,,PubChem_name_property,46220502.0,C27H32F2N8,506.6,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,UZWDCWONPYILKI-UHFFFAOYSA-N,Abemaciclib
LT03614,Acalabrutinib,name,True,Acalabrutinib,,,PubChem_name_property,71226662.0,C26H23N7O2,465.5,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,WDENQIQQYWYTPO-IBGZPJMESA-N,Acalabrutinib
LT02096,Acetylcholine chloride,CAS,True,60-31-1,,,PubChem_name_property,6060.0,C7H16ClNO2,181.66,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)OCC[N+](C)(C)C.[Cl-],JUGOREOARAHOCO-UHFFFAOYSA-M,Acetylcholine Chloride
LT01387,Adalimumab,chembl_id,False,CHEMBL1201580,200.0,,,,,,,,,
LT01387,Adalimumab,name,False,Adalimumab,,,,,,,,,,
LT01387,Adalimumab,ChEMBL_synonym,False,CHEMBL1201580,,,,,,,,,,
LT02889,Afatinib dimaleate,name,True,Afatinib dimaleate,,,PubChem_name_property,15606394.0,C32H33ClFN5O11,718.1,CN(C/C=C/C(=O)NC1=C(C=C2N=CN=C(C2=C1)NC3=CC(=C(C=C3)F)Cl)O[C@@H]4COCC4)C.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O,USNRYVNRPYXCSP-JUGPPOIOSA-N,Afatinib Dimaleate
LT02385,Agalsidase beta,chembl_id,False,CHEMBL2108888,200.0,,,,,,,,,
LT02385,Agalsidase beta,name,False,Agalsidase beta,,,,,,,,,,
LT02385,Agalsidase beta,ChEMBL_synonym,False,CHEMBL2108888,,,,,,,,,,
LT01319,Aldesleukin,chembl_id,False,CHEMBL1201438,200.0,,,,,,,,,
LT01319,Aldesleukin,name,False,Aldesleukin,,,,,,,,,,
