edge,role,ANI,CAT,N,IP_DFT_eV,EA_DFT_eV,mu_DFT_eV,eta_DFT_eV,omega_DFT_eV
R05E001,M,-776.01464237,-775.77354822,-775.97302035,5.427913174740032,1.1325928625607067,-3.2802530186503693,2.147660156089663,2.5050657656088764
R05E001,P,-700.78990622,-700.57794044,-700.7732042,5.313397593203599,0.45448511730890184,-2.8839413552562507,2.4294562379473486,1.711724132060186
R05E002,M,-770.59370259,-770.32412406,-770.53898915,5.846776954768683,1.4888285486867017,-3.6678027517276925,2.1789742030409904,3.0869518801109375
R05E002,P,-791.23734422,-790.9693402,-791.18376354,5.834756324893158,1.45800457880219,-3.646380451847674,2.188375873045484,3.0378900086101654
R05E003,M,-708.41442499,-708.18204654,-708.3975326,5.863674409285853,0.45966534890967126,-3.161669879097762,2.702004530188091,1.8497667773521846
R05E003,P,-787.01771808,-786.75747658,-786.99377881,6.4301112513177054,0.6514207224177563,-3.540765986867731,2.8893452644499744,2.1695267658062334
R05E004,M,-3174.96602237,-3174.67182976,-3174.90963573,6.471030101270582,1.5343586401480491,-4.002694370709316,2.4683357305612663,3.2454179605593922
R05E004,P,-3214.26066393,-3213.97130575,-3214.20468458,6.350561484772751,1.523275714653248,-3.9369185997129996,2.413642885059751,3.2107749155241065
R05E005,M,-615.83931217,-615.50988541,-615.75626278,6.704269777340825,2.2598890287817417,-4.482079403061283,2.2221903742795415,4.520097829570355
R05E005,P,-829.50409409,-829.26833204,-829.48196191,5.813164906249579,0.6022472984449527,-3.2077061023472657,2.605458803902313,1.9745809113590707
R05E006,M,-1077.93622159,-1077.6917373,-1077.89617585,5.5630563476156425,1.089700098649023,-3.3263782231323327,2.23667812448331,2.473487794736909
R05E006,P,-1137.88255281,-1137.6400626,-1137.84254952,5.5099497898792675,1.0885449753053333,-3.2992473825923003,2.210702407286967,2.4618947479458684
R05E007,M,-1706.29032658,-1706.04051116,-1706.24199502,5.482655136794015,1.315168747029822,-3.3989119419119183,2.0837431948820964,2.772079212363096
R05E007,P,-1745.58384236,-1745.32958445,-1745.53398545,5.5620345600651495,1.3566756350419187,-3.459355097553534,2.1026794625116154,2.845687586798198
R05E008,M,-1244.26463414,-1243.98163289,-1244.18268976,5.471036146979456,2.22982017487061,-3.8504281609250333,1.620607986054423,4.574146601159183
R05E008,P,-1168.99668276,-1168.78190105,-1168.96948215,5.104341764546986,0.7401663048401924,-2.9222540346935895,2.182087729853397,1.9567427391786605
R05E009,M,-1278.70596223,-1278.44766369,-1278.66559747,5.93028026362999,1.098381075089389,-3.514330669359689,2.4159495942703004,2.556038437824362
R05E009,P,-1585.1283361,-1584.86800798,-1585.08562752,5.92172935761388,1.1621596664025904,-3.541944512008235,2.379784845605645,2.6358204081580556
R05E010,M,-1482.64092179,-1482.40793957,-1482.58734943,4.881990996794567,1.4577781800715461,-3.1698845884330566,1.7121064083615103,2.934446204661289
R05E010,P,-1407.44966686,-1407.20953084,-1407.39175963,4.958697989827776,1.5757360019640454,-3.267216995895911,1.6914809939318654,3.1554321143915525
R05E011,M,-1434.89656793,-1434.65866129,-1434.87396227,5.858638125918054,0.6151313456042236,-3.2368847357611386,2.621753390156915,1.9981709248359871
R05E011,P,-1359.69914512,-1359.46171345,-1359.6754978,5.817368521196641,0.6434763582027254,-3.230422439699683,2.586946081496958,2.0169784777417137
R05E012,M,-689.8310723,-689.55419542,-689.80768411,6.897778652577514,0.6364250716843223,-3.7671018621309185,3.130676790446596,2.2664518552306157
R05E012,P,-691.06000088,-690.8051408,-691.05312115,6.747889085266226,0.18720699029602272,-3.4675480377811243,3.2803410474851016,1.8327194063461683
R05E013,M,-1442.6180738,-1442.25127231,-1442.51379427,7.143586451612674,2.8375905683796914,-4.990588509996183,2.1529979416164915,5.784021711002258
R05E013,P,-1367.45056698,-1367.12150577,-1367.37765167,6.970085020222542,1.9841266636586328,-4.477105841940587,2.4929791782819546,4.0201853458223145
R05E014,M,-514.2199126,-513.80720387,-514.07923187,7.402258977723012,3.8281176814002498,-5.615188329561631,1.787070648161381,8.821794484981604
R05E014,P,-515.37376252,-515.13831287,-515.34730421,5.686944074803819,0.719967292827893,-3.203455683815856,2.483488390987963,2.0660713284207683
R05E015,M,-540.05304454,-539.77339385,-540.0479953,7.4722861196577455,0.13739681988728944,-3.8048414697725175,3.667444649885228,1.9736928559444982
R05E015,P,-464.8564735,-464.5579775,-464.84591232,7.835105600689907,0.287384348192529,-4.061244974441218,3.773860626248689,2.1852570054791887
R05E016,M,-512.76613685,-512.49138167,-512.71302352,6.0311819886244935,1.4452873374399076,-3.7382346630322005,2.292947325592293,3.0472567424299055
R05E016,P,-437.561057,-437.29668809,-437.51297109,5.88536025144191,1.308484269999749,-3.5969222607208295,2.288437990721081,2.826786175139568
R05E017,M,-1372.86803592,-1372.58052625,-1372.84763834,7.268490251961886,0.5550464278636581,-3.911768339912772,3.356721912049114,2.279296877441189
R05E017,P,-688.21675216,-687.95445328,-688.21503969,7.090917452964669,0.046598682605469746,-3.568758067785069,3.5221593851795996,1.807986628880452
R05E018,M,-1535.89952311,-1535.70378026,-1535.88018029,4.800089350132998,0.5263449461071619,-2.66321714812008,2.136872202012918,1.6596045311833711
R05E018,P,-851.27084344,-851.07430869,-851.25031558,4.789391465746574,0.5585915272639919,-2.673991496505283,2.115399969241291,1.6900422207028454
R05E019,M,-1179.82909879,-1179.52964209,-1179.81378691,7.731974446821227,0.4166574808294771,-4.074315963825352,3.657658482995875,2.2692182239340077
R05E019,P,-556.06180704,-555.82339499,-556.06732481,6.6376685489329255,-0.1501461706860654,-3.24376118912343,3.3939073598094955,1.550128736079299
R05E020,M,-1369.28138603,-1369.00492122,-1369.23552826,6.275137236483877,1.2478534918527149,-3.761495364168296,2.513641872315581,2.814411935624223
R05E020,P,-684.65308319,-684.37167708,-684.60415815,6.326132190649182,1.3313181605396476,-3.828725175594415,2.497407015054767,2.9348713249107723
