n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model,repeat,fold
76,32,44,0.7322443181818182,0.7176153896577468,0.6960227272727273,0.6973684210526315,0.6285714285714286,0.6875,0.7045454545454546,0.6567164179104478,0.38833970806049356,0.2105481414251838,22,31,13,10,ECFP,0,0
76,32,44,0.7585227272727273,0.7509766870589445,0.6931818181818181,0.6842105263157895,0.6,0.75,0.6363636363636364,0.6666666666666666,0.3820465887291705,0.21036236984556886,24,28,16,8,ECFP_StateCore,0,0
76,32,44,0.7024147727272727,0.7001448041887182,0.6164772727272727,0.6052631578947368,0.5238095238095238,0.6875,0.5454545454545454,0.5945945945945946,0.23131745879431767,0.22593698875947044,22,24,20,10,ECFP_FluxCore,0,0
76,32,44,0.7151988636363638,0.7184621481991653,0.6207386363636364,0.6052631578947368,0.5227272727272727,0.71875,0.5227272727272727,0.6052631578947368,0.24147727272727273,0.22233848503593576,23,23,21,9,ECFP_StateFluxCore,0,0
74,31,43,0.8094523630907726,0.6618636287594369,0.6901725431357839,0.7027027027027027,0.6551724137931034,0.6129032258064516,0.7674418604651163,0.6333333333333333,0.38440376156822986,0.1833521349158711,19,33,10,12,ECFP,0,1
74,31,43,0.8124531132783196,0.6675932536245293,0.7081770442610653,0.7027027027027027,0.6216216216216216,0.7419354838709677,0.6744186046511628,0.6764705882352942,0.41084327674858256,0.18095627324596758,23,29,14,8,ECFP_StateCore,0,1
74,31,43,0.792198049512378,0.6537828121745846,0.735933983495874,0.7297297297297297,0.6486486486486487,0.7741935483870968,0.6976744186046512,0.7058823529411765,0.46562238031506026,0.1895007027474649,24,30,13,7,ECFP_FluxCore,0,1
74,31,43,0.7929482370592648,0.6517702000037111,0.7314328582145536,0.7297297297297297,0.6571428571428571,0.7419354838709677,0.7209302325581395,0.696969696969697,0.4574080079548406,0.18750230708200868,23,31,12,8,ECFP_StateFluxCore,0,1
76,31,45,0.803584229390681,0.7503076199533893,0.7125448028673835,0.7368421052631579,0.72,0.5806451612903226,0.8444444444444444,0.6428571428571429,0.4446440622770187,0.1802720868453605,18,38,7,13,ECFP,0,2
76,31,45,0.7949820788530466,0.6983578231675411,0.728673835125448,0.75,0.7307692307692307,0.6129032258064516,0.8444444444444444,0.6666666666666666,0.47376382757987345,0.1799560467457266,19,38,7,12,ECFP_StateCore,0,2
76,31,45,0.8100358422939069,0.7384123174635957,0.7125448028673835,0.7368421052631579,0.72,0.5806451612903226,0.8444444444444444,0.6428571428571429,0.4446440622770187,0.17155489648588648,18,38,7,13,ECFP_FluxCore,0,2
76,31,45,0.8050179211469534,0.6945081960586004,0.7014336917562725,0.7236842105263158,0.6923076923076923,0.5806451612903226,0.8222222222222222,0.631578947368421,0.41732801112835244,0.17537732127734373,18,37,8,13,ECFP_StateFluxCore,0,2
74,31,43,0.7906976744186047,0.6971715224399443,0.6875468867216804,0.6891891891891891,0.6176470588235294,0.6774193548387096,0.6976744186046512,0.6461538461538462,0.37135175048661195,0.187258479113743,21,30,13,10,ECFP,0,3
74,31,43,0.7704426106526632,0.7047164339913276,0.7198049512378095,0.7162162162162162,0.6388888888888888,0.7419354838709677,0.6976744186046512,0.6865671641791045,0.4339498000742011,0.19911867654432625,23,30,13,8,ECFP_StateCore,0,3
