n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,dataset,model
113,21,92,0.6288819875776397,0.3731293058463225,0.6037784679089027,0.504424778761062,0.23880597014925373,0.7619047619047619,0.44565217391304346,0.36363636363636365,0.16433289055220213,0.25841972978519695,16,41,51,5,temporal_strict,ECFP
113,21,92,0.6118012422360248,0.3727707200609584,0.5711697722567288,0.45132743362831856,0.2191780821917808,0.7619047619047619,0.3804347826086957,0.3404255319148936,0.11578110952279327,0.3049919713156393,16,35,57,5,temporal_strict,ECFP_StateCore
113,21,92,0.6112836438923397,0.36584693149950426,0.565734989648033,0.4424778761061947,0.21621621621621623,0.7619047619047619,0.3695652173913043,0.3368421052631579,0.10756772712408683,0.3155049874416596,16,34,58,5,temporal_strict,ECFP_FluxCore
113,21,92,0.5900621118012422,0.35930545060424296,0.547360248447205,0.4424778761061947,0.20833333333333334,0.7142857142857143,0.3804347826086957,0.3225806451612903,0.07662832845699305,0.31486735531144744,15,35,57,6,temporal_strict,ECFP_StateFluxCore
94,18,76,0.5855263157894737,0.3398229854467447,0.5862573099415205,0.46808510638297873,0.23333333333333334,0.7777777777777778,0.39473684210526316,0.358974358974359,0.14127127688509067,0.272077089315544,14,30,46,4,temporal_scaffold_novel,ECFP
94,18,76,0.5679824561403508,0.33927175805594056,0.5533625730994152,0.4148936170212766,0.2153846153846154,0.7777777777777778,0.32894736842105265,0.3373493975903614,0.09091889102586767,0.32426442587665105,14,25,51,4,temporal_scaffold_novel,ECFP_StateCore
94,18,76,0.570906432748538,0.3368016585821444,0.5533625730994152,0.4148936170212766,0.2153846153846154,0.7777777777777778,0.32894736842105265,0.3373493975903614,0.09091889102586767,0.33098833739661254,14,25,51,4,temporal_scaffold_novel,ECFP_FluxCore
94,18,76,0.5489766081871345,0.3259712379847711,0.5321637426900585,0.4148936170212766,0.20634920634920634,0.7222222222222222,0.34210526315789475,0.32098765432098764,0.053837948390206225,0.3316979866628898,13,26,50,5,temporal_scaffold_novel,ECFP_StateFluxCore
34,28,6,0.8154761904761906,0.9370365723295963,0.7619047619047619,0.8235294117647058,0.9230769230769231,0.8571428571428571,0.6666666666666666,0.8888888888888888,0.47075654176200415,0.15393788518610652,24,4,2,4,dilimap_strict,ECFP
34,28,6,0.7916666666666666,0.9386849721992427,0.7142857142857143,0.8529411764705882,0.896551724137931,0.9285714285714286,0.5,0.9122807017543859,0.4613110466630937,0.1347017736834814,26,3,3,2,dilimap_strict,ECFP_StateCore
34,28,6,0.8333333333333334,0.9482117786203488,0.7976190476190477,0.8823529411764706,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.9285714285714286,0.5952380952380952,0.12985743691412266,26,4,2,2,dilimap_strict,ECFP_FluxCore
34,28,6,0.8273809523809524,0.9469835095349368,0.7142857142857143,0.8529411764705882,0.896551724137931,0.9285714285714286,0.5,0.9122807017543859,0.4613110466630937,0.13654413791996606,26,3,3,2,dilimap_strict,ECFP_StateFluxCore
25,20,5,0.9800000000000001,0.9951190476190477,0.8500000000000001,0.88,0.9473684210526315,0.9,0.8,0.9230769230769231,0.6556100681071858,0.13062565067050286,18,4,1,2,dilimap_scaffold_novel,ECFP
25,20,5,0.93,0.9823421074969063,0.8,0.92,0.9090909090909091,1.0,0.6,0.9523809523809523,0.7385489458759964,0.10614125415796195,20,3,2,0,dilimap_scaffold_novel,ECFP_StateCore
25,20,5,1.0,1.0,0.9,0.96,0.9523809523809523,1.0,0.8,0.975609756097561,0.8728715609439696,0.10148767642720183,20,4,1,0,dilimap_scaffold_novel,ECFP_FluxCore
25,20,5,0.99,0.9976190476190476,0.8,0.92,0.9090909090909091,1.0,0.6,0.9523809523809523,0.7385489458759964,0.10617902111439687,20,3,2,0,dilimap_scaffold_novel,ECFP_StateFluxCore
