n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,dataset,model,repeat,fold
1078,354,724,0.7208071916846147,0.5583490528574633,0.6599049536473452,0.7031539888682746,0.5494186046511628,0.5338983050847458,0.7859116022099447,0.5415472779369628,0.3222074488993791,0.2124837663683174,189,569,155,165,Hagan_genotox,ECFP,0,0
1078,354,724,0.7152628211130879,0.5533308711037306,0.6590777850610232,0.6419294990723562,0.4700374531835206,0.7090395480225988,0.6091160220994475,0.5653153153153153,0.29884112785962963,0.22840982361646678,251,441,283,103,Hagan_genotox,ECFP_StateCore,0,0
1078,354,724,0.7193967131753911,0.5561038990493914,0.6606462839841434,0.6382189239332097,0.4672727272727273,0.7259887005649718,0.5953038674033149,0.5685840707964602,0.3018375644214216,0.23210372639361646,257,431,293,97,Hagan_genotox,ECFP_FluxCore,0,0
1078,354,724,0.7139752473702281,0.551951518443532,0.6525501763585854,0.6428571428571429,0.4697855750487329,0.6807909604519774,0.6243093922651933,0.5559400230680508,0.28690011172074015,0.22993753353157673,241,452,272,113,Hagan_genotox,ECFP_StateFluxCore,0,0
1072,352,720,0.7723622948232323,0.6871982506713789,0.6980429292929293,0.7621268656716418,0.6844106463878327,0.5113636363636364,0.8847222222222222,0.5853658536585366,0.43228959461093974,0.17995572797758227,180,637,83,172,Hagan_genotox,ECFP,0,1
1072,352,720,0.7661221590909091,0.6699221392785635,0.689709595959596,0.7080223880597015,0.5476772616136919,0.6363636363636364,0.7430555555555556,0.5886990801576872,0.36680771074906326,0.18789212783287398,224,535,185,128,Hagan_genotox,ECFP_StateCore,0,1
1072,352,720,0.7705650252525253,0.6802888066885814,0.7043876262626263,0.7248134328358209,0.5717884130982368,0.6448863636363636,0.7638888888888888,0.6061415220293725,0.3975346929731233,0.18699691600539603,227,550,170,125,Hagan_genotox,ECFP_FluxCore,0,1
1072,352,720,0.7664693813131312,0.6702402064981584,0.6965277777777779,0.7210820895522388,0.5684754521963824,0.625,0.7680555555555556,0.5953991880920162,0.3843180222489232,0.18806497497800834,220,553,167,132,Hagan_genotox,ECFP_StateFluxCore,0,1
1070,351,719,0.7857462683610111,0.690458617715088,0.7152027388466888,0.7495327102803738,0.6189111747851003,0.6153846153846154,0.8150208623087621,0.6171428571428571,0.43103788936483733,0.18062195731990763,216,586,133,135,Hagan_genotox,ECFP,0,2
1070,351,719,0.7937306087514711,0.6970223955150628,0.7019126754870844,0.6934579439252336,0.5236139630390144,0.7264957264957265,0.6773296244784422,0.6085918854415274,0.3807262529920318,0.18723700261863446,255,487,232,96,Hagan_genotox,ECFP_StateCore,0,2
1070,351,719,0.794826226676018,0.6881068593307853,0.7228423459299675,0.719626168224299,0.5550755939524838,0.7321937321937322,0.713490959666203,0.6314496314496314,0.42233870098901316,0.18689031445101742,257,513,206,94,Hagan_genotox,ECFP_FluxCore,0,2
1070,351,719,0.7978991080520983,0.6899866146363223,0.7214515253458229,0.7177570093457943,0.5526881720430108,0.7321937321937322,0.7107093184979137,0.6299019607843137,0.4194908683287943,0.18623150656212692,257,511,208,94,Hagan_genotox,ECFP_StateFluxCore,0,2
1076,353,723,0.7786724342623393,0.681125482010051,0.693608234496648,0.7509293680297398,0.6480836236933798,0.5269121813031161,0.8603042876901799,0.58125,0.4110842820541295,0.18000777136494936,186,622,101,167,Hagan_genotox,ECFP,0,3
1076,353,723,0.7776928833668341,0.6689797513911233,0.7137536782136127,0.7146840148698885,0.5504385964912281,0.7110481586402266,0.7164591977869986,0.6205191594561187,0.40618307922568136,0.18982286802050014,251,518,205,102,Hagan_genotox,ECFP_StateCore,0,3
1076,353,723,0.7743780831364435,0.6683029443447257,0.7048554378788413,0.7202602230483272,0.5628019323671497,0.660056657223796,0.7496542185338866,0.6075619295958279,0.3953710157872384,0.18812743237394924,233,542,181,120,Hagan_genotox,ECFP_FluxCore,0,3
1076,353,723,0.7700092861424894,0.6603229961576158,0.6978731990956786,0.7128252788104089,0.5526315789473685,0.6543909348441926,0.7413554633471646,0.5992217898832685,0.38121710991263136,0.19009184267301776,231,536,187,122,Hagan_genotox,ECFP_StateFluxCore,0,3
1071,351,720,0.8002037828426718,0.7111593728583498,0.7237179487179487,0.7787114845938375,0.7021276595744681,0.5641025641025641,0.8833333333333333,0.6255924170616114,0.4768563551758419,0.17626974865538644,198,636,84,153,Hagan_genotox,ECFP,0,4
1071,351,720,0.802065527065527,0.7120013655765216,0.7202991452991454,0.715219421101774,0.548936170212766,0.7350427350427351,0.7055555555555556,0.6285018270401949,0.41675080688494814,0.18414229156569561,258,508,212,93,Hagan_genotox,ECFP_StateCore,0,4
1071,351,720,0.7946541627097183,0.7086085309690608,0.7179665242165243,0.7189542483660131,0.5553097345132744,0.7150997150997151,0.7208333333333333,0.6251556662515566,0.41430965964724653,0.18396708294059247,251,519,201,100,Hagan_genotox,ECFP_FluxCore,0,4
1071,351,720,0.7971747388414056,0.7112371192825621,0.7157763532763532,0.7189542483660131,0.5560538116591929,0.7065527065527065,0.725,0.6223337515683814,0.4109095294229468,0.18369474447839346,248,522,198,103,Hagan_genotox,ECFP_StateFluxCore,0,4
1074,353,721,0.7204150672067832,0.5611379886780895,0.66501121750166,0.7113594040968343,0.5649546827794562,0.5297450424929179,0.8002773925104022,0.5467836257309941,0.33572991894534443,0.2110860729926486,187,577,144,166,Hagan_genotox,ECFP,1,0
1074,353,721,0.7171617952717544,0.5574025962987241,0.6536031558309399,0.6378026070763501,0.4660377358490566,0.6997167138810199,0.6074895977808599,0.5594563986409966,0.2886341638651761,0.22635523514610154,247,438,283,106,Hagan_genotox,ECFP_StateCore,1,0
1074,353,721,0.7167492426712978,0.5570168189295601,0.6439238860097519,0.6238361266294227,0.453382084095064,0.7025495750708215,0.5852981969486823,0.5511111111111111,0.2704698664524211,0.23075527771252613,248,422,299,105,Hagan_genotox,ECFP_FluxCore,1,0
1074,353,721,0.7124115467579258,0.5534647088181971,0.6420359667286151,0.6378026070763501,0.463855421686747,0.6543909348441926,0.6296809986130375,0.5428907168037603,0.26758231032623137,0.22856055833388986,231,454,267,122,Hagan_genotox,ECFP_StateFluxCore,1,0
1074,352,722,0.7927080710148577,0.7136950935190353,0.7215161483253589,0.7811918063314711,0.7174721189591078,0.5482954545454546,0.8947368421052632,0.6215780998389694,0.47995579241561964,0.1769187132125966,193,646,76,159,Hagan_genotox,ECFP,1,1
1074,352,722,0.7938530911609166,0.7010515608609966,0.7169832850667338,0.7281191806331471,0.5710900473933649,0.6846590909090909,0.7493074792243767,0.6227390180878553,0.4170769441219835,0.18197107691888964,241,541,181,111,Hagan_genotox,ECFP_StateCore,1,1
1074,352,722,0.7987695951901284,0.7198487026259625,0.7140361369932007,0.729050279329609,0.5742092457420924,0.6704545454545454,0.7576177285318559,0.6186107470511141,0.41340845553722616,0.1801310235641421,236,547,175,116,Hagan_genotox,ECFP_FluxCore,1,1
1074,352,722,0.7963280659783429,0.7101545859538098,0.7209613447494334,0.7383612662942272,0.5885286783042394,0.6704545454545454,0.7714681440443213,0.6268260292164675,0.42885108390961685,0.18025909823879732,236,557,165,116,Hagan_genotox,ECFP_StateFluxCore,1,1
1072,351,721,0.773688016406463,0.6929798638452278,0.6950658115706659,0.7481343283582089,0.6354515050167224,0.5413105413105413,0.8488210818307905,0.5846153846153846,0.4082319618538692,0.18155538180924832,190,612,109,161,Hagan_genotox,ECFP,1,2
1072,351,721,0.7634221226454236,0.6802442032291303,0.6835038388436447,0.6902985074626866,0.5212527964205816,0.6638176638176638,0.7031900138696255,0.5839598997493735,0.34930320461593656,0.19243701170512378,233,507,214,118,Hagan_genotox,ECFP_StateCore,1,2
1072,351,721,0.7733284335226083,0.6886202818471956,0.6975236198537169,0.7052238805970149,0.5398633257403189,0.6752136752136753,0.7198335644937587,0.6,0.37699544860602613,0.18877564309541764,237,519,202,114,Hagan_genotox,ECFP_FluxCore,1,2
1072,351,721,0.7684681374001762,0.683008097197003,0.710887458460274,0.7182835820895522,0.5563218390804597,0.6894586894586895,0.7323162274618585,0.6157760814249363,0.4030766073499924,0.19008800768256115,242,528,193,109,Hagan_genotox,ECFP_StateFluxCore,1,2
1073,352,721,0.7843509645694111,0.6931735114275535,0.6950238778212079,0.7474370922646785,0.6345514950166113,0.5426136363636364,0.8474341192787794,0.5849923430321593,0.40762878968182203,0.1776943410501456,191,611,110,161,Hagan_genotox,ECFP,1,3
1073,352,721,0.7931179863825495,0.6994916384464329,0.7144039213213971,0.7138863000931966,0.5490196078431373,0.7159090909090909,0.7128987517337032,0.6214549938347719,0.4069219860783308,0.18484026656438515,252,514,207,100,Hagan_genotox,ECFP_StateCore,1,3
1073,352,721,0.7838682858403733,0.6853434912673163,0.6916096646072374,0.700838769804287,0.5354691075514875,0.6647727272727273,0.7184466019417476,0.5931558935361216,0.36619894951670307,0.186778208129108,234,518,203,118,Hagan_genotox,ECFP_FluxCore,1,3
1073,352,721,0.7826566637246248,0.6865254856369963,0.6895292207792207,0.6980428704566636,0.5318181818181819,0.6647727272727273,0.7142857142857143,0.5909090909090909,0.36184030731129957,0.1867368089367631,234,515,206,118,Hagan_genotox,ECFP_StateFluxCore,1,3
1074,353,721,0.7965526318891372,0.6935988741002,0.7240003457583699,0.7662942271880819,0.6583850931677019,0.6005665722379604,0.8474341192787794,0.6281481481481481,0.4593003890310293,0.1774988031022969,212,611,110,141,Hagan_genotox,ECFP,1,4
1074,353,721,0.7979435235135337,0.6948431920149438,0.7332199141104776,0.7262569832402235,0.5623678646934461,0.7535410764872521,0.7128987517337032,0.6440677966101694,0.44134966921030483,0.18593119574523814,266,514,207,87,Hagan_genotox,ECFP_StateCore,1,4
1074,353,721,0.7954230235783634,0.6868273605034328,0.7190261401185793,0.7178770949720671,0.5543478260869565,0.7223796033994334,0.7156726768377254,0.6273062730627307,0.4158319252666347,0.18599163629366994,255,516,205,98,Hagan_genotox,ECFP_FluxCore,1,4
1074,353,721,0.7978492257762865,0.6899025462660785,0.7317150793869076,0.7281191806331471,0.5658747300215983,0.7422096317280453,0.7212205270457698,0.6421568627450981,0.4395701343029721,0.1856937515420282,262,520,201,91,Hagan_genotox,ECFP_StateFluxCore,1,4
1074,353,721,0.7154192516688735,0.5550937905110354,0.6625909089123149,0.6964618249534451,0.5363881401617251,0.5637393767705382,0.7614424410540915,0.5497237569060773,0.32123038798190473,0.21431758876267876,199,549,172,154,Hagan_genotox,ECFP,2,0
1074,353,721,0.7129380424575561,0.5531780945145058,0.648748786898901,0.6312849162011173,0.45996275605214154,0.6997167138810199,0.5977808599167822,0.5550561797752809,0.2794886188955828,0.22966159506210201,247,431,290,106,Hagan_genotox,ECFP_StateCore,2,0
1074,353,721,0.716281683057447,0.5538819687080799,0.6574536467685343,0.6303538175046555,0.46099290780141844,0.7365439093484419,0.5783633841886269,0.5670665212649946,0.29621910431489984,0.23369697810784443,260,417,304,93,Hagan_genotox,ECFP_FluxCore,2,0
1074,353,721,0.71233296531022,0.5510782252117914,0.6571000302538573,0.6415270018621974,0.4696969696969697,0.7025495750708215,0.6116504854368932,0.5629965947786606,0.295221489292196,0.23155671176533038,248,441,280,105,Hagan_genotox,ECFP_StateFluxCore,2,0
1072,352,720,0.7670434816919192,0.6843985014101486,0.6939709595959596,0.753731343283582,0.658273381294964,0.5198863636363636,0.8680555555555556,0.580952380952381,0.41569197527598717,0.18333963436523276,183,625,95,169,Hagan_genotox,ECFP,2,1
1072,352,720,0.7718592171717171,0.6868863188292971,0.7025568181818183,0.7145522388059702,0.5542452830188679,0.6676136363636364,0.7375,0.6056701030927835,0.3890845722518418,0.1900574522242288,235,531,189,117,Hagan_genotox,ECFP_StateCore,2,1
1072,352,720,0.7697758838383838,0.6791827089398137,0.7045138888888889,0.7210820895522388,0.5647921760391198,0.65625,0.7527777777777778,0.607095926412615,0.3954321394248221,0.19003496038995107,231,542,178,121,Hagan_genotox,ECFP_FluxCore,2,1
1072,352,720,0.7710029987373737,0.6822944567562751,0.7030618686868686,0.7210820895522388,0.5654320987654321,0.6505681818181818,0.7555555555555555,0.6050198150594451,0.39337388554391334,0.18893205050562173,229,544,176,123,Hagan_genotox,ECFP_StateFluxCore,2,1
1074,352,722,0.7915728878116344,0.6779525624702202,0.7056944094686477,0.7569832402234636,0.6511627906976745,0.5568181818181818,0.8545706371191135,0.6003062787136294,0.4299514517236784,0.17952951790203425,196,617,105,156,Hagan_genotox,ECFP,2,2
1074,352,722,0.7876204041803073,0.670675210292457,0.704659563082347,0.707635009310987,0.5420353982300885,0.6960227272727273,0.7132963988919667,0.6094527363184079,0.3891683912449592,0.18711716066102668,245,515,207,107,Hagan_genotox,ECFP_StateCore,2,2
1074,352,722,0.7915807573659028,0.6765873402578246,0.71740824099723,0.7169459962756052,0.5524017467248908,0.71875,0.7160664819944599,0.6246913580246913,0.4126889431981107,0.18710409738613265,253,517,205,99,Hagan_genotox,ECFP_FluxCore,2,2
1074,352,722,0.788726076555024,0.6724388989132697,0.7075004721732561,0.7094972067039106,0.5440528634361234,0.7017045454545454,0.7132963988919667,0.6129032258064516,0.39433492630788847,0.18753766843902148,247,515,207,105,Hagan_genotox,ECFP_StateFluxCore,2,2
1074,352,722,0.7953483064719215,0.7191417675312837,0.7091924263409721,0.7607076350093109,0.6588628762541806,0.5596590909090909,0.8587257617728532,0.6052227342549923,0.43815668074653213,0.17345791841900687,197,620,102,155,Hagan_genotox,ECFP,2,3
1074,352,722,0.7946479161420297,0.7089424739561131,0.7116910098212037,0.7141527001862198,0.549889135254989,0.7045454545454546,0.7188365650969529,0.6176836861768369,0.40266144390238257,0.18283039454259614,248,519,203,104,Hagan_genotox,ECFP_StateCore,2,3
1074,352,722,0.7855861244019138,0.7047890644894981,0.7023695227902291,0.7104283054003724,0.5469107551487414,0.6789772727272727,0.7257617728531855,0.605830164765526,0.3867270934734997,0.18240164336580753,239,524,198,113,Hagan_genotox,ECFP_FluxCore,2,3
1074,352,722,0.7882853815159909,0.7046202167469733,0.7094363825232939,0.7160148975791434,0.5535307517084282,0.6903409090909091,0.7285318559556787,0.6144121365360303,0.39994744928720577,0.1829033203470914,243,526,196,109,Hagan_genotox,ECFP_StateFluxCore,2,3
1073,352,721,0.7858187019291388,0.713172422260156,0.7224715515067457,0.7726001863932899,0.6812080536912751,0.5767045454545454,0.8682385575589459,0.6246153846153846,0.46642783514923564,0.1767135458391197,203,626,95,149,Hagan_genotox,ECFP,2,4
1073,352,721,0.7849183583406886,0.7079259615591846,0.7127825148152818,0.7185461323392358,0.5568181818181818,0.6960227272727273,0.7295423023578363,0.6186868686868687,0.4062344066771679,0.183750010875541,245,526,195,107,Hagan_genotox,ECFP_StateCore,2,4
1073,352,721,0.787424347497163,0.7090104651366489,0.7144275627285336,0.7334575955265611,0.5829145728643216,0.6590909090909091,0.7697642163661581,0.6186666666666667,0.41682729167379845,0.18031959749278265,232,555,166,120,Hagan_genotox,ECFP_FluxCore,2,4
1073,352,721,0.7848907766990292,0.705207572172367,0.7152885039717565,0.7297297297297297,0.5752427184466019,0.6732954545454546,0.7572815533980582,0.6204188481675392,0.4156621329901432,0.1819974021710106,237,546,175,115,Hagan_genotox,ECFP_StateFluxCore,2,4
