LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,compound_name,smiles,molecule_chembl_id,CAS_number,mw,alogp,prodrug,livertox_score,DILI_label,DILI_label_binary,livertox_mechanism_summary,v2_class,primary_label,name_norm,structure_source,resolved_smiles,pubchem_cid,pubchem_inchikey,parse_ok,standardized_smiles,inchikey,scaffold_smiles,fragment_count,largest_fragment_fraction,formal_charge,mol_wt,heavy_atoms,carbon_atoms,metal_atoms,tpsa,clogp,hbd,hba,rot_bonds,ring_count,fraction_csp3,eligible,exclusion_reasons,v1_label_raw,v1_class,dilimap_validation,dilimap_total_cmax_uM,structure_source_round03,structure_source_round03b
LT00040,Abacavir sulfate,8,Warnings & precautions,vMOST-DILI-concern,Unchanged,Abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,CHEMBL1380,136470-78-5,286.34,1.09,1.0,C,DILI (likely),DILI,"Hepatitis, Cholestasis/Biliary, Hypersensitivity Syndrome",most,1.0,abacavir sulfate,DILImap_metadata,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,,,True,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,MCGSCOLBFJQGHM-SCZZXKLOSA-N,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,1.0,1.0,0.0,286.33900000000006,21.0,14.0,0.0,101.88,1.0922999999999998,3.0,6.0,4.0,4.0,0.5,True,,Most-DILI-Concern,most,False,,,
LT03618,Abaloparatide,0,No match,vNo-DILI-concern,New,,,,,,,,,,,,no,0.0,abaloparatide,,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)N,76943386.0,BVISQZFBLRSESR-XSCWXTNMSA-N,True,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NC(C)(C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@@H](C)C(N)=O)[C@@H](C)O,BVISQZFBLRSESR-XSCWXTNMSA-N,O=C(CCc1cnc[nH]1)NCC(=O)NCC(=O)NCC(=O)NC(Cc1cnc[nH]1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCc1cnc[nH]1,1.0,1.0,0.0,3960.6569999999847,279.0,174.0,0.0,1738.5999999999988,-15.40709000000028,61.0,55.0,142.0,3.0,0.6954022988505747,False,mw_above_1000;heavy_atoms_above_80;structure_too_large,,other,False,,,PubChem_name_property
LT01402,Abatacept,0,No match,vLess-DILI-concern,Unchanged,Abatacept,,CHEMBL1201823,,,,0.0,D,DILI (few cases),,"Hepatitis, Necrosis, Hypersensitivity, idiosyncratic cases",less,,abatacept,,,,,False,,,,,,,,,,,,,,,,,,False,missing_structure,Less-DILI-Concern,less,False,,,
LT01330,Abciximab,0,No match,vNo-DILI-concern,Unchanged,Abciximab,,CHEMBL1201584,,,,0.0,,No DILI,No DILI,,no,0.0,abciximab,,,,,False,,,,,,,,,,,,,,,,,,False,missing_structure,No-DILI-Concern,no,False,,,
LT03619,Abemaciclib,3,Warnings & precautions,vLess-DILI-concern,New,,,,,,,,,,,,less,,abemaciclib,,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,46220502.0,UZWDCWONPYILKI-UHFFFAOYSA-N,True,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,UZWDCWONPYILKI-UHFFFAOYSA-N,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc(CN3CCNCC3)cn2)n1,1.0,1.0,0.0,506.6050000000003,37.0,27.0,0.0,75.0,4.936920000000004,1.0,7.0,7.0,5.0,0.4074074074074074,True,,,other,False,,,PubChem_name_property
LT02339,Abiraterone acetate,8,Warnings & precautions,vMost-DILI-concern,New,,,,,,,,,,,,most,1.0,abiraterone acetate,,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,,,True,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,GZOSMCIZMLWJML-VJLLXTKPSA-N,C1=C2CCCCC2C2CCC3C(c4cccnc4)=CCC3C2C1,1.0,1.0,0.0,349.51800000000003,26.0,24.0,0.0,33.120000000000005,5.398600000000005,1.0,2.0,1.0,5.0,0.625,True,,,other,False,,DILImap_metadata_offline,
LT03614,Acalabrutinib,4,Adverse reactions,Ambiguous-DILI-concern,New,,,,,,,,,,,,ambiguous,,acalabrutinib,,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,71226662.0,WDENQIQQYWYTPO-IBGZPJMESA-N,True,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,WDENQIQQYWYTPO-IBGZPJMESA-N,O=C(Nc1ccccn1)c1ccc(-c2nc(C3CCCN3)n3ccncc23)cc1,1.0,1.0,0.0,465.51700000000017,35.0,26.0,0.0,118.51,3.3126000000000015,2.0,6.0,4.0,5.0,0.19230769230769232,True,,,other,False,,,PubChem_name_property
LT01141,Acamprosate calcium,3,Adverse reactions,vLess-DILI-concern,Unchanged,Acamprosate,CC(=O)NCCCS(=O)(=O)O,CHEMBL1201293,77337-73-6,181.21,-0.6,0.0,E,No DILI (unlikely),,,less,,acamprosate calcium,DILImap_metadata,CC(=O)NCCCS(=O)(=O)O,,,True,CC(=O)NCCCS(=O)(=O)O,AFCGFAGUEYAMAO-UHFFFAOYSA-N,,1.0,1.0,0.0,181.213,11.0,5.0,0.0,83.47,-0.5995999999999997,2.0,3.0,4.0,0.0,0.8,True,,Less-DILI-Concern,less,False,,,
LT01034,Acarbose,8,Warnings & precautions,vMost-DILI-concern,Unchanged,Acarbose,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1566,56180-94-0,645.61,-8.56,0.0,B,DILI (likely),DILI,"Hepatitis, Cholestasis/Biliary, Immune-mediated, Hypersensitivity",most,1.0,acarbose,DILImap_metadata,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,,,True,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,XUFXOAAUWZOOIT-SXARVLRPSA-N,C1=CC(NC2CCC(OC3CCC(OC4CCCOC4)OC3)OC2)CCC1,1.0,1.0,0.0,645.6080000000004,44.0,25.0,0.0,321.17,-8.564500000000011,14.0,19.0,9.0,4.0,0.92,True,,Most-DILI-Concern,most,False,0.112948606744009,,
LT01035,Acebutolol hydrochloride,3,Adverse reactions,vLess-DILI-concern,Unchanged,Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CHEMBL642,34381-68-5,336.43,2.37,0.0,C,DILI (few cases),,"Hepatitis, likely idiosyncratic",less,,acebutolol hydrochloride,DILImap_metadata,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,,,True,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,GOEMGAFJFRBGGG-UHFFFAOYSA-N,c1ccccc1,1.0,1.0,0.0,336.4320000000001,24.0,18.0,0.0,87.66,2.3655,3.0,5.0,10.0,1.0,0.5555555555555556,True,,Less-DILI-Concern,less,False,,,
