edge,role,state,status,tar,job_id,job_name,comment,success,scf,stage,energy_Eh,job_name2,LTKBID,compound,primary_label,broad_class,mechanism,charge,multiplicity,geometry_source,heavy_atoms,smiles,input_file,input_sha256
R05E001,M,ANI,success,archive3595(1).tar,3700,R05E001_M_ANI,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-776.01464237,R05E001_M_ANI,LT00587,Minoxidil,0.0,dealkylation,N-Dealkylation of mixed tertiary amine,-1,2,existing_xTB,16,Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],output_round05_v4/qchem_inputs/wave_C_anion/R05E001_M_ANI.in,a70afc3880a5ca123f57bd372f953f47a086fd73c9aed64e2ec253d72815391b
R05E001,M,CAT,success,archive3595(1).tar,3652,R05E001_M_CAT,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-775.77354822,R05E001_M_CAT,LT00587,Minoxidil,0.0,dealkylation,N-Dealkylation of mixed tertiary amine,1,2,existing_xTB,16,Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],output_round05_v4/qchem_inputs/wave_B_cation/R05E001_M_CAT.in,0d4cc99a09ff11023a54adc04e8bd782af66573c24eb0ff9a15ba363c3dffb07
R05E001,M,N,success,archive3595(1).tar,3595,R05E001_M_N,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-775.97302035,R05E001_M_N,LT00587,Minoxidil,0.0,dealkylation,N-Dealkylation of mixed tertiary amine,0,1,existing_xTB,16,Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],output_round05_v4/qchem_inputs/wave_A_neutral/R05E001_M_N.in,81265c76f7ef68b3246b5f1d7f67a7c69eb830c3eb78eb01867510e42f6c8bb6
R05E001,P,ANI,success,archive3595(1).tar,3701,R05E001_P_ANI,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],True,8,0,-700.78990622,R05E001_P_ANI,LT00587,Minoxidil,0.0,dealkylation,N-Dealkylation of mixed tertiary amine,-1,2,existing_xTB,15,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],output_round05_v4/qchem_inputs/wave_C_anion/R05E001_P_ANI.in,a967007fbd033c6f1853f84be76960c80c40cc5fab3c8a2dab32ec52c9a034fd
R05E001,P,CAT,success,archive3595(1).tar,3653,R05E001_P_CAT,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],True,8,0,-700.57794044,R05E001_P_CAT,LT00587,Minoxidil,0.0,dealkylation,N-Dealkylation of mixed tertiary amine,1,2,existing_xTB,15,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],output_round05_v4/qchem_inputs/wave_B_cation/R05E001_P_CAT.in,bb2aae27d6801f70208889c4463aa13633fa6480ed29f2f71eb3ee3a7147051f
R05E001,P,N,success,archive3595(1).tar,3596,R05E001_P_N,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],True,8,0,-700.7732042,R05E001_P_N,LT00587,Minoxidil,0.0,dealkylation,N-Dealkylation of mixed tertiary amine,0,1,existing_xTB,15,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],output_round05_v4/qchem_inputs/wave_A_neutral/R05E001_P_N.in,0a69a5453fd5829f5ebd4da710f82768e2833791ee104396f619bd6d21a0da06
R05E002,M,ANI,success,archive3595(1).tar,3702,R05E002_M_ANI,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=O=CCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-770.59370259,R05E002_M_ANI,LT00848,Protriptyline hydrochloride,0.0,dealkylation,N-Dealkylation of acyclic secondary amine,-1,2,existing_xTB,19,O=CCCC1c2ccccc2C=Cc2ccccc21,output_round05_v4/qchem_inputs/wave_C_anion/R05E002_M_ANI.in,50b3b6769da10b0518ffabe2ae5e87df6f26def157963fe50bc5d76a6702f160
R05E002,M,CAT,success,archive3595(1).tar,3654,R05E002_M_CAT,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=O=CCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-770.32412406,R05E002_M_CAT,LT00848,Protriptyline hydrochloride,0.0,dealkylation,N-Dealkylation of acyclic secondary amine,1,2,existing_xTB,19,O=CCCC1c2ccccc2C=Cc2ccccc21,output_round05_v4/qchem_inputs/wave_B_cation/R05E002_M_CAT.in,6a513b4e8583f8c5d4f33c6a4af11d70e5054b5d7efc043f26a023f02465629a
R05E002,M,N,success,archive3595(1).tar,3597,R05E002_M_N,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=O=CCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-770.53898915,R05E002_M_N,LT00848,Protriptyline hydrochloride,0.0,dealkylation,N-Dealkylation of acyclic secondary amine,0,1,existing_xTB,19,O=CCCC1c2ccccc2C=Cc2ccccc21,output_round05_v4/qchem_inputs/wave_A_neutral/R05E002_M_N.in,9c08d74f97926b72111da1d911e57de55dd7808240e5469b6649cf15969f0b16
R05E002,P,ANI,success,archive3595(1).tar,3703,R05E002_P_ANI,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=CNCCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-791.23734422,R05E002_P_ANI,LT00848,Protriptyline hydrochloride,0.0,dealkylation,N-Dealkylation of acyclic secondary amine,-1,2,existing_xTB,20,CNCCCC1c2ccccc2C=Cc2ccccc21,output_round05_v4/qchem_inputs/wave_C_anion/R05E002_P_ANI.in,4dbba8af1db32405cd70f40a4b019ec869afb93f2f511cc3aa1e367956618b06
R05E002,P,CAT,success,archive3595(1).tar,3655,R05E002_P_CAT,P05 StateFlux Round05 V4 | edge=R05E002 | LTKBID=LT00848 | compound=Protriptyline hydrochloride | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=CNCCCC1c2ccccc2C=Cc2ccccc21,True,8,0,-790.9693402,R05E002_P_CAT,LT00848,Protriptyline hydrochloride,0.0,dealkylation,N-Dealkylation of acyclic secondary amine,1,2,existing_xTB,20,CNCCCC1c2ccccc2C=Cc2ccccc21,output_round05_v4/qchem_inputs/wave_B_cation/R05E002_P_CAT.in,323128c9e45a2132d332a03dc9d62947179d1873141fcabdb85ced2cbe0b7366
