LTKBID,compound,node_id,node_type,generation,precursor_smiles,mechanism,enzyme,state_window,smiles,formal_charge,reactive_alert_count,reactive_alerts,selection_score,status,error,total_energy_Eh,gsolv_Eh,homo_lumo_gap_eV,polarizability_au,vip_eV,vea_eV,vomega_eV,fukui_plus_max,fukui_plus_min,fukui_plus_absmax,fukui_minus_max,fukui_minus_min,fukui_minus_absmax,fukui_rad_max,fukui_rad_min,fukui_rad_absmax,chem_potential_eV,hardness_eV,fundamental_gap_eV,electrophilicity_eV,local_electrophilicity_proxy_eV,property_returncodes,homo_eV,lumo_eV,dipole_au,charge_min,charge_max,charge_absmax,charge_std
LT00040,Abacavir sulfate,LT00040__R3P0,parent_microstate,0,,microstate,,canonical,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0,0,,0.0,ok,,-60.809884803245,-0.036413382833,3.171193821424,196.637155,5.4248,0.7125,,0.089,-0.01,0.089,0.119,-0.007,0.119,0.101,-0.008,0.101,-3.0686500000000003,2.35615,4.7123,1.9983050362880128,0.1778491482296331,0;0,-9.5899,-6.2709,1.212552090752916,-0.51566991,0.36077673,0.51566991,0.1810993169541925
LT02339,Abiraterone acetate,LT02339__R3P0,parent_microstate,0,,microstate,,canonical,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,0,0,,0.0,ok,,-74.219400785202,-0.014818334647,3.062949335622,266.521437,5.6037,1.269,,0.102,-0.017,0.102,0.097,-0.013,0.097,0.099,-0.014,0.099,-3.43635,2.16735,4.3347,2.7241796023946296,0.2778663194442522,0;0,-9.9727,-6.9317,1.6110969538070057,-0.52226568,0.35057225,0.52226568,0.1017745003871286
LT01141,Acamprosate calcium,LT01141__R3P0,parent_microstate,0,,microstate,,canonical,CC(=O)NCCCS(=O)(=O)O,0,0,,0.0,ok,,-38.801244582839,-0.038577877929,5.05289406561,108.393854,6.8548,-0.4351,,0.185,-0.047,0.185,0.173,-0.021,0.173,0.179,-0.031,0.179,-3.20985,3.64495,7.2899,1.4133440818804095,0.2614686551478758,0;0,-10.8694,-5.6798,2.801616949465125,-0.68803272,1.37716105,1.37716105,0.4256800858700333
LT01141,Acamprosate calcium,LT01141__R3P1,parent_microstate,0,,microstate,,acidic_organelle,CC(=O)NCCCS(=O)(=O)[O-],-1,0,,0.0,ok,,-38.644922580059,-0.129800264467,5.030958725671,109.448699,6.4709,-0.7036,,0.256,-0.064,0.256,0.14,-0.021,0.14,0.198,-0.039,0.198,-2.8836500000000003,3.58725,7.1745,1.159026736706391,0.296710844596836,0;0,-10.6484,-5.6175,3.933515834960303,-0.7605225,1.21551623,1.21551623,0.4188816198228418
LT01034,Acarbose,LT01034__R3P0,parent_microstate,0,,microstate,,canonical,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,0,0,,0.0,ok,,-151.658050563411,-0.094985021116,4.067665109191,369.640697,5.8573,-0.2769,,0.168,-0.025,0.168,0.113,-0.014,0.113,0.101,-0.017,0.101,-2.7902,3.0671000000000004,6.134200000000001,1.2691493658504776,0.2132170934628802,0;0,-9.9643,-5.8967,1.533197760436117,-0.51529285,0.39224114,0.51529285,0.264075896599155
LT01034,Acarbose,LT01034__R3P1,parent_microstate,0,,microstate,,acidic_organelle,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,1,0,,0.0,ok,,-151.839975538236,-0.170031418196,4.572938026515,367.634799,6.2713,0.2388,,0.173,-0.027,0.173,0.055,-0.01,0.055,0.096,-0.019,0.096,-3.25505,3.01625,6.0325,1.756378036054704,0.3038534002374637,0;0,-10.9291,-6.3562,7.327245340098088,-0.51329574,0.39840318,0.51329574,0.2645795684873796
LT01035,Acebutolol hydrochloride,LT01035__R3P0,parent_microstate,0,,microstate,,canonical,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0,0,,0.0,ok,,-74.961911204655,-0.027100053098,1.857648738262,237.697803,5.6205,2.0081,,0.163,-0.035,0.163,0.155,-0.034,0.155,0.09,-0.022,0.09,-3.8143,1.8062,3.6124,4.027484356660393,0.6564799501356441,0;0,-9.5698,-7.6702,0.3505463701689968,-0.49479729,0.34656072,0.49479729,0.1652258732004539
LT01035,Acebutolol hydrochloride,LT01035__R3P1,parent_microstate,0,,microstate,,acidic_organelle,CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,1,0,,0.0,ok,,-75.161965713985,-0.089535864332,2.511002590542,235.519514,6.2448,2.2275,,0.158,-0.041,0.158,0.091,-0.019,0.091,0.109,-0.028,0.109,-4.23615,2.00865,4.0173,4.466922266821,0.705773718157718,0;0,-10.4742,-7.8906,5.663035299901841,-0.50138337,0.3628112,0.50138337,0.1682895768455725
LT01853,Aceclofenac,LT01853__R3P0,parent_microstate,0,,microstate,,canonical,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0,0,,0.0,ok,,-69.223318997611,-0.02727708724,2.584200692316,223.015797,5.6179,1.6125,,0.086,-0.019,0.086,0.114,-0.012,0.114,0.067,-0.014,0.067,-3.6152,2.0027,4.0054,3.263012692864632,0.2806190915863583,0;0,-9.8797,-6.9515,1.2928118657411038,-0.47942979,0.4376528,0.47942979,0.1975808456695381
LT01853,Aceclofenac,LT01853__R3P1,parent_microstate,0,,microstate,,acidic_organelle,O=C([O-])COC(=O)Cc1ccccc1[NH2+]c1c(Cl)cccc1Cl,0,0,,0.0,ok,,-69.21907297157,-0.062273224124,3.422104508372,222.553717,6.4459,1.7821,,0.073,-0.01,0.073,0.135,-0.009,0.135,0.076,-0.01,0.076,-4.114,2.3319,4.6638,3.629014108666752,0.2649180299326729,0;0,-10.6553,-7.233,6.279540532286597,-0.60101145,0.37459545,0.60101145,0.2153421097623147
LT01853,Aceclofenac,LT01853__R3P2,parent_microstate,0,,microstate,,physiologic,O=C([O-])COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-1,0,,0.0,ok,,-69.037660476289,-0.110131332237,2.601322424775,224.05096,5.4981,1.2296,,0.089,-0.017,0.089,0.104,-0.013,0.104,0.071,-0.015,0.071,-3.36385,2.13425,4.2685,2.6509281533325533,0.2359326056465972,0;0,-9.7672,-6.5916,6.215804828619507,-0.63002036,0.37695232,0.63002036,0.2145758341815864
LT00004,Acetaminophen,LT00004__R3P0,parent_microstate,0,,microstate,,canonical,CC(=O)Nc1ccc(O)cc1,0,0,,0.0,ok,,-32.797038708338,-0.021682129711,3.599476468917,105.908225,5.9647,0.8083,,0.133,-0.033,0.133,0.113,-0.018,0.113,0.11,-0.025,0.11,-3.3865,2.5782,5.1564,2.2241064017531613,0.2958061514331704,0;0,-10.0587,-6.4058,1.390382572589489,-0.5153383,0.37216188,0.5153383,0.2085192626424059
LT00498,Acetazolamide,LT00498__R3P0,parent_microstate,0,,microstate,,canonical,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0,0,,0.0,ok,,-42.003960912501,-0.046495510874,3.354319023678,129.52216,7.1848,2.509,,0.299,-0.024,0.299,0.22,-0.01,0.22,0.259,-0.017,0.259,-4.8469,2.3379000000000003,4.675800000000001,5.024261005603318,1.502254040675392,0;0,-11.2854,-8.0851,3.3823200273208367,-0.66095285,1.18664042,1.18664042,0.4113182482916084
LT00913,Acetohydroxamic acid,LT00913__R3P0,parent_microstate,0,,microstate,,canonical,CC(=O)NO,0,0,,0.0,ok,,-17.852257256305,-0.01937492888,4.97477139533,43.613572,7.1571,-0.4784,,0.247,-0.067,0.247,0.206,-0.027,0.206,0.227,-0.047,0.227,-3.33935,3.81775,7.635499999999999,1.460449010870277,0.3607309056849584,0;0,-10.8203,-5.8455,1.6657837612744473,-0.54270083,0.38256031,0.54270083,0.2832911989016059
LT01041,Acetylcysteine,LT01041__R3P0,parent_microstate,0,,microstate,,canonical,CC(=O)N[C@@H](CS)C(=O)O,0,0,,0.0,ok,,-33.693537066948,-0.026638213781,2.887599761707,99.696802,6.31,1.0683,,0.207,-0.016,0.207,0.442,-0.052,0.442,0.325,-0.034,0.325,-3.68915,2.62085,5.2417,2.596453006181201,0.5374657722795085,0;0,-10.2382,-6.8574,2.0120023984783946,-0.52983459,0.42863092,0.52983459,0.2718793071203047
LT01041,Acetylcysteine,LT01041__R3P1,parent_microstate,0,,microstate,,acidic_organelle,CC(=O)N[C@@H](CS)C(=O)[O-],-1,0,,0.0,ok,,-33.515411193458,-0.098344364778,3.780836169477,100.983949,5.7856,0.6258,,0.252,-0.028,0.252,0.38,-0.051,0.38,0.316,-0.031,0.316,-3.2057,2.5799,5.1598,1.9916493836970424,0.5018956446916547,0;0,-9.8739,-6.0415,4.489826236103919,-0.62172114,0.36368491,0.62172114,0.2909255827006272
